block,config_id,payoff,n_cal,n_test,r_eff,sigma_delta,mu_delta,theory_mr,empirical_mr,ratio,in_range,exp,pair,proto_pair,axis,step,diag,scale,window,clipped,n_seeds,scenario
Exp05_axis,Exp05ax-v2,ATM,150,50,2.251,0.000207,-0.00181652,0.00181652,0.00179077,0.9858,True,exp05_axis,,,v,0.005,,,,,,
Exp05_axis,Exp05ax-v2,OTM_K110,150,50,2.251,0.000197,-0.00184429,0.00184429,0.00182086,0.9873,True,exp05_axis,,,v,0.005,,,,,,
Exp05_axis,Exp05ax-v2,OTM_K125,150,50,2.251,0.000164,-0.00166973,0.00166973,0.00164958,0.9879,True,exp05_axis,,,v,0.005,,,,,,
Exp05_axis,Exp05ax-v3,ATM,150,50,2.281,0.000391,-0.00363955,0.00363955,0.00354864,0.975,True,exp05_axis,,,v,0.01,,,,,,
Exp05_axis,Exp05ax-v3,OTM_K110,150,50,2.281,0.000376,-0.00369454,0.00369454,0.00360969,0.977,True,exp05_axis,,,v,0.01,,,,,,
Exp05_axis,Exp05ax-v3,OTM_K125,150,50,2.281,0.000318,-0.00335061,0.00335061,0.00327783,0.9783,True,exp05_axis,,,v,0.01,,,,,,
Exp05_axis,Exp05ax-v4,ATM,150,50,2.774,0.000922,-0.01064748,0.01064748,0.01032022,0.9693,True,exp05_axis,,,v,0.03,,,,,,
Exp05_axis,Exp05ax-v4,OTM_K110,150,50,2.774,0.000884,-0.01082875,0.01082875,0.01051924,0.9714,True,exp05_axis,,,v,0.03,,,,,,
Exp05_axis,Exp05ax-v4,OTM_K125,150,50,2.774,0.000768,-0.00990366,0.00990366,0.00964122,0.9735,True,exp05_axis,,,v,0.03,,,,,,
Exp05_axis,Exp05ax-v5,ATM,150,50,7.945,0.001028,-0.03151727,0.03151727,0.03144407,0.9977,True,exp05_axis,,,v,0.1,,,,,,
Exp05_axis,Exp05ax-v5,OTM_K110,150,50,7.945,0.00096,-0.03237274,0.03237274,0.03228345,0.9972,True,exp05_axis,,,v,0.1,,,,,,
Exp05_axis,Exp05ax-v5,OTM_K125,150,50,7.945,0.00085,-0.0304044,0.0304044,0.03031607,0.9971,True,exp05_axis,,,v,0.1,,,,,,
Exp05_axis,Exp05ax-kappa1,ATM,150,50,1.779,5.6e-05,-0.00018853,0.00018854,0.00018858,1.0002,True,exp05_axis,,,kappa,0.01,,,,,,
Exp05_axis,Exp05ax-kappa1,OTM_K110,150,50,1.779,5.5e-05,-0.00019903,0.00019903,0.00019997,1.0047,True,exp05_axis,,,kappa,0.01,,,,,,
Exp05_axis,Exp05ax-kappa1,OTM_K125,150,50,1.779,4.9e-05,-0.00018862,0.00018862,0.00018993,1.0069,True,exp05_axis,,,kappa,0.01,,,,,,
Exp05_axis,Exp05ax-kappa2,ATM,150,50,1.949,0.000263,-0.00093332,0.00093334,0.00093545,1.0023,True,exp05_axis,,,kappa,0.05,,,,,,
Exp05_axis,Exp05ax-kappa2,OTM_K110,150,50,1.949,0.000259,-0.00098472,0.00098473,0.00099066,1.006,True,exp05_axis,,,kappa,0.05,,,,,,
Exp05_axis,Exp05ax-kappa2,OTM_K125,150,50,1.949,0.000227,-0.00093396,0.00093396,0.00094117,1.0077,True,exp05_axis,,,kappa,0.05,,,,,,
Exp05_axis,Exp05ax-kappa3,ATM,150,50,1.996,0.000448,-0.00187778,0.00187779,0.00183305,0.9762,True,exp05_axis,,,kappa,0.1,,,,,,
Exp05_axis,Exp05ax-kappa3,OTM_K110,150,50,1.996,0.000442,-0.00197955,0.00197955,0.00193998,0.98,True,exp05_axis,,,kappa,0.1,,,,,,
Exp05_axis,Exp05ax-kappa3,OTM_K125,150,50,1.996,0.000389,-0.00187843,0.00187844,0.00184361,0.9815,True,exp05_axis,,,kappa,0.1,,,,,,
Exp05_axis,Exp05ax-kappa4,ATM,150,50,2.168,0.000862,-0.00523638,0.00523638,0.00499435,0.9538,True,exp05_axis,,,kappa,0.3,,,,,,
